Product,Strength and Form
Tensar,20 mg film-coated  tablets
Tensar,40 mg film-coated  tablets
Tensotran,"2 mg capsules, hard"
Teotard,300 mg prolonged -  release tablets
Teraxans,"8 mg/2,5 mg tablets"
Terazosin,1mg; 2mg; 5mg tablets
Terazosin  Accord,1 mg tablets
Terazosin Accord,2 mg tablets
Terazosin Accord,5 mg tablets
Terbinafin  Genericon,tabl. 125 mg x 7; x 10;  x 14; x 28; x 30; x 42; x 50; x 56; x 98; x 112
Terbinafin  Genericon,250 mg tablets
Tercef,1 g powder for solution  for injection
Tercef,2 g powder for solution  for injection
Ternafin,cream 1% - 15 g
Ternafin,tabl. 250 mg x 20
Tertensif  Combi,"10 mg/2,5 mg film -  coated tablets"
Tertensif  SR,"1,5 mg prolonged -  release tablets"
Tesgreco,20  mg tablets
Tesgreco,40  mg tablets
Tesgreco,80  mg tablets
Tespadan,20 mg/5 mg film - coated  tablets
Tespadan,40 mg/5 mg film - coated  tablets
Tespadan,40 mg/10 mg film - coated  tablets
Tespadan  HCT,"20 mg/5 mg/12,5 mg film -  coated tablets"
Tespadan  HCT,"40 mg/5 mg/12,5 mg film -  coated tablets"
Tespadan  HCT,"40 mg/10 mg/12,5 mg film -  coated tablets"
Tespadan  HCT,40 mg/5 mg/25 mg film -  coated tablets
Tespadan  HCT,40 mg/10 mg/25 mg film -  coated tablets
Tessyron,75 mg film - coated  tablets
Testavan,20 mg/g transdermal gel
Testim,50 mg transdermal gel
Tetadif,suspension for injection
Tetatox,suspension for injection
Tetatox,suspension for injection
Tetavax,"0,5 ml suspension for  injection"
Tetmodis,25 mg tablets
TETRAct-HIB,"powd. vial and susp.  pre-filled syringe for susp. inj. 0,5 ml x 1"
Tetracyclin ABR,30 mg/g ointment
Tetracycline  Actavis,30 mg/g ointment
Tetracycline  Actavis,"250 mg capsules, hard"
Tetracycline  VISION,10 mg / g eye ointment
Tetracycline  Vision,10 mg/g eye ointment
Tetraspan,100 mg/ml solution for  infusion
Tetraxim,"0,5 ml suspension for  injection"
Tetrazepam - MIP,50 mg tablets
TevaBehist,16 mg tablets
TevaBehist,24 mg tablets
TevaBisoprol,5 mg tablets
TevaBisoprol,10 mg tablets
Tevabone,"70 mg tablets and 1  microgram capsules, soft"
TevacarboVit,1000 mg/880 IU chewable  tablets
TevacarboVit,500 mg/440 IU chewable  tablets
TevaCetine,10 mg tablets
TevaCetine,5  mg tablets
TevaCoxib,100 mg hard capsules
TevaCoxib,"200 mg capsules, hard"
TevaKandezid  plus,"16 mg/12,5 mg tablets"
TevaKandezid  plus,"8 mg/12,5 mg tablets"
Tevaleptin,300 mg film - coated  tablets
Tevaleptin,600 mg film - coated  tablets
TevaLer,10 mg film - coated  tablets
TevaLer,20 mg film - coated  tablets
Tevalin,"8 mg prolonged - release  capsules, hard"
Tevalin,"16 mg prolonged -  release capsules, hard"
Tevalin,"24 mg prolonged -  release capsules, hard"
Tevalndam,"1,5 mg prolonged -  release tablets"
TevaMet,1000 mg film - coated  tablets
TevaMet,500 mg film - coated  tablets
TevaMet,850 mg film - coated  tablets
Tevanate,70 mg tablets
TevaPariVit,"1 microgram capsules,  soft"
TevaPariVit,5 micrograms/ml solution  for injection
TevaPariVit,"2 microgram capsules,  soft"
TevaPenem,1000 mg powder for  solution for injection or infusion
Tevaquel,100 mg film - coated tablets
Tevaquel,200 mg film - coated tablets
Tevaquel  XR,200 mg prolonged -  release tablets
Tevaquel  XR,300 mg prolonged -  release tablets
Tevaquel  XR,400 mg prolonged -  release tablets
Tevaquel  XR,50 mg prolonged -  release tablets
Tevaracilin,"2 g / 0,250 g powder for solution for  infusion"
Tevaracilin,"4 g/ 0,500 g powder for  solution for infusion"
Tevarelbine,10 mg/ml concentrate for  solution for infusion
TevaThyrox,100 micrograms tablets
TevaThyrox,50 micrograms tablets
Tevatrim,35 mg proronged -  release tablets
Teveten,600 mg film - coated  tablets
Teveten  Plus,"600 mg/12,5 mg film -  coated tablets"
Tezeo,40 mg tablets
Tezeo,80 mg tablets
Tezeo  HCT,80 mg/25 mg tablets
Tezeo  HCT,"80 mg/12,5 mg tablets"
Thera  Flu Extra Strength,powd. sol. x 10
Theracap  131,"37 MBq - 5,55 GBq  capsules, hard"
Therafiu  Cold And Cough,500 mg/10 mg/200 mg  syrop
Theraflu  Cold and Flu Extra Strength,650 mg/10 mg/20 mg  powder for oral solution
Theraflu  Forte Cold and Cough,"500 mg/6,1 mg/100 mg  capsules, hard"
Theraflu  Forte Cold And Flu,325 mg/10 mg/20 mg  powder for oral soltuion
Theraflu  Max Cold And Cough,"100 mg/12,2 mg/200 mg  powder for oral solution"
Thioctacid  600 HR,600 mg film - coated  tablets
Thioctacid  600 T,600 mg/24 ml solution  for injection
THIOCTIC  ACID ROMPHARM,600 mg/24 ml solution  for injection
Thiogamma  600 Injekt,600 mg/20 ml concentrate  fot solution for infusion
Thiogamma 600 Oral,600 mg film - coated tablets
Thiogamma  Turbo-Set,600 mg/50 ml solution  for injection
Thiopental  Avantx,500 mg powder for  solution for injection
Thiopental  Avantx,1 g powder for solution  for injection
THIOPENTAL PANPHARMA,500 mg powder for  solution for injection
THIOPENTAL PANPHARMA,l g powder for solution  for injection
Thiopental  Sandoz,powd.  inj. 1 g
Thrombo  ASS,100 mg gastro -  resistant tablets
Thromboreductin,"0,5 mg hard capsules"
Thyrozol,5 mg film - coated tablets
Thyrozol,10 mg film - coated  tablets
Thyrozol,20 mg film - coated  tablets
Tialera,"12,5 mg film - coated  tablets"
Tiapride  Elit,100 mg tablets
Tiapride  G.L.,100 mg tablets
Tienam,500 mg/500 mg powder for  solution for infusion
Tifaxin  MR,"75 mg prolonged - release  capsules, hard"
Tifaxin  MR,"150 mg prolonged - release  capsules, hard"
Tifaxin  SPM,"75 mg prolonged - release  capsules, hard"
Tifaxin  SPM,"150 mg prolonged - release  capsules, hard"
Tifaxin  SR,"37,5 mg prolonged -  release capsules, hard"
Tifaxin  SR,"75 mg prolonged - release  capsules, hard"
Tifaxin  SR,"150 mg prolonged -  release capsules, hard"
Tigecycline  Sandoz,50 mg powder for  solution for infusion
Tilconox,20 mg film-coated  tablets
Tilcotil,20 mg film - coated  tablets
Tilidine  Sopharma,"100 mg/ml oral drops,  solution"
Tilidine  Unipharm,"100 mg/ml oral drops,  solution"
Timlatan,"50 micrograms/ml + 5  mg/nl eye drops, solution"
Timolol  vision,"5 mg/ml eye drops,  solution"
Timoptic,"drops eye 0,5% - 5 ml x  1"
Timoptic,"0,5 % eye drops,  solution"
Tinctura  Castellani - Hefe,sol. cut. - 50 ml
Tinctura  Castellani - Heffe,"0,8 g/100 g + 100 g + 8  g/100 g cutaneous solution"
Tinctura  Crataegi,drops 200 mg/ml - 20 ml
Tinctura Crataegi Chemax Pharma,"200mg/g oral drops,  solution"
Tinctura Crataegi VT,"200 mg/1 ml oral drops,  solution"
Tinctura  Menthae Piperitae,drops - 15 g; 800 g
Tinctura Menthae Piperitae,"VT 50 mg/50 mg/ml oral  drops, solution"
Tinctura  Menthae Piperitae Chemax Pharma,"50 mg/50 mg/g oral  drops, solution"
Tinctura Valerianae Chemax  Pharma,"200 mg/ml oral drops,  solution"
Tinctura  Valerianae Kupro,"200 mg/ml oral drops,  solution"
Tinctura Valerianae VT,"oral drops, solution"
Tingreks,75 mg film - coated  tablets
Tinidazol  Actavis,500 mg film - coated  tablets
Tintaros,40 mg film - coated  tablets
Tintaros,20 mg film - coated  tablets
Tintaros,10 mg film - coated  tablets
Tintaros,5 mg film - coated  tablets
Tintaros  AM,10 mg/5 mg hard capsules
Tintaros  AM,20 mg/5 mg hard capsules
Tintaros  ASA,10 mg/100 mg hard  capsules
Tintaros  ASA,20 mg/100 mg hard  capsules
Tintaros  Plus,5 mg/10 mg tablets
Tintaros  Plus,10 mg/10 mg tablets
Tintaros  Plus,20 mg/10 mg tablets
Tirofiban-Tchaikapharma,"0,25 mg/ml concentrate  for solution for infusion"
Tissel,solution for sealant
Tissel Lyo,powder and solvent for  sealant
Tiyozid,4  mg tablets
Tiyozid,4 mg/2 ml solution for  injection
Tizanidine - Teva,2 mg tablets
Tizanidine - Teva,2 mg tablets
Tobanex,25 mg film - coated  tablets
Tobanex,50 mg film - coated  tablets
Tobanex,100 mg film - coated  tablets
Tobi,300 mg/5 ml nebuliser  solution
Tobodexin,3 mg/g +1 mg/g eye drops
Tobodexin,3 mg/g + 1 mg/g eye  ointment
Tobradex,3 mg/1 mg/g eye ointment
Tobradex,"3 mg/1 mg/ml eye drops,  suspension"
Tobramed,"3 mg/1 mg/ml eye drops,  suspension"
Tobramycin  Actavis,80 mg/2 ml solution for  injection
Tobramycin  TEVA,30 mg / 5 ml nebuliser  solution
Tobramycin  Via Pharma,300 mg/5 ml nebuliser  solution
Tobramycin  VVB,300 mg/5 ml nebuliser  solution
Tobramysil,3 mg/g eye drops
Tobramysil,3 mg/g eye ointment
Tobrex,3 mg/g eye ointment
Tobrex,"3 mg/ml eye drops, solution"
Tobrin,"0,3 % eye drops,  solution"
Toctino,10 mg soft capsules
Toctino,30 mg soft capsules
Tolnexa,20 mg/ml concentrate for  solution for infusion
Toltecon,"4 mg prolonged - release  capsules, hard"
Tolterodine  Accord,1 mg film - coated  tablets
Tolterodine  Accord,2 mg film - coated  tablets
Tolterodine  Accord,"2 mg prolonged - release  capsules, hard"
Tolterodine  Accord,"4 mg prolonged - release  capsules, hard"
Tomalon,2 mg caps. Hard
Tomalon,4 mg caps. Hard
Tonsilotren,tablets
Tonsipret,50 mg/75 mg/75 mg  tablets
Tonypiryn,300 mg eff.tabl.
Topamax,100 mg film - coated  tablets
Topamax,25 mg film - coated  tablets
Topamax,50 mg film - coated  tablets
Topilex,200 mg film - coated  tablets
Topilex,25 mg film - coated  tablets
Topilex,50 mg film - coated  tablets
Topilex,100 mg film - coated  tablets
Topiramate  Accord,25 mg film - coated tablets
Topiramate  Accord,50 mg film - coated tablets
Topiramate  Accord,100 mg film - coated tablets
Topiramate  Accord,200 mg film - coated  tablets
Topirax,100 mg film - coated  tablets
Topirax,25 mg film - coated  tablets
Topirax,50 mg film - coated  tablets
Topogel,"2,5 % gel"
Topogyne,400 micrograms tablets
Topotecan  Accord,4 mg powder for  concentrate for solution for infusion
Topotecan  Accord,1 mg/ml concentrate for  solution for infusion
Topotecan  Cipla,1 mg lyophilisate for  concentrate for solution for infusion
Topotecan  Cipla,4 mg lyophilisate for  concentrate for solution for infusion
Topotecan  EBEWE,1 mg concentrate for  solut. Infus.
Topotecan Kabi,4 mg powder for  concentrate for solution for infusion
Torazidex,10 mg tablets
Torazidex,5 mg tablets
Torbin,"0,3 % eye drops,  solution"
Torem,10 mg tablets
Torem,5 mg tablets
Torendo,1 mg film - coated  tablets
Torendo,2 mg film - coated  tablets
Torendo,3 mg film - coated  tablets
Torendo,4 mg film - coated  tablets
Torendo Q-Tab,"0,5 mg orodispersible  tablets"
Torendo Q-Tab,1 mg orodispersible  tablets
Torendo Q-Tab,2 mg orodispersible  tablets
Tores,"50 mg/12,5 mg  film-coated tablets"
Tores,"100 mg/12, 5 mg film - coated  tablets"
Tores,100 mg/25 mg film -  coated tablets
TORSIT  SR,5 mg prolonged - release  tablets
TORSIT  SR,10 mg prolonged -  release tablets
Torvacard,80 mg film - coated  tablets
Torvacard,10 mg film - coated  tablets
Torvacard,20 mg film - coated  tablets
Torvacard,40 mg film - coated  tablets
Torvacard  Zentiva,40 mg film - coated  tablets
Torvacard  Zentiva,80 mg film - coated  tablets
Torvacard  Zentiva,20 mg film - coated  tablets
Torvacard  Zentiva,10 mg film - coated tablets
Torvalipin,80 film-coated tablets
Torvalipin,10 mg film - coated  tablets blister
Torvalipin,20 mg film - coated  tablets blister
Torvalipin,40 mg film - coated  tablets blister
Torvazin,10 mg film - coated  tablets
Torvazin,20 mg film - coated  tablets
Torvazin,40 mg film - coated  tablets
Tosynal,5 mg film - coated  tablets
Tosynal,10 mg film - coated  tablets
Tot'hema,oral. sol. 10 ml x 20
TRACHIHELP,"5 mg/1,5 mg compressed  lozenges"
Trachisan,"0,5 mg/1,0 mg/1,0 mg  lozenges"
Tracrium,10 mg/ml solution for  injection
Tracsus,"0,5 mg capsules, hard"
Tracsus,"1 mg capsules, hard"
Tracsus,"5 mg capsules, hard"
Tracutil,concentrate for solution  for infusion
Tralgit,sol. inj. 50 mg/ml x 5;  x 10
Tramadol  Combo,"37,5 mg/325 mg film -  coated tablets"
Tramadol  Krka,100 mg prolonged -  release tablets
Tramadol  Krka,150 mg prolonged -  release tablets
Tramadol  Krka,200 mg prolonged -  release tablets
Tramadol  KRKA,100 mg/2 ml solution for  injection/infusion
Tramadol  KRKA,50 mg hard capsules
Tramadol  KRKA,50 mg/ml solution for  injection/infusion
Tramadol  Stada,supp. 100 mg x 10; x 30
Tramadol  STADA,50 mg/ml solution for  injection
Tramadol  STADA,"50 mg capsules, hard"
Tramalgin,50 mg/ml solution for  injection
Tramalgin,"50 mg capsules, hard"
Transilane  sugar free,3 g powder for oral  suspension
Transmetil,500 mg powder and  solvent for solution for injection
Transmetil,500 mg gastro - resistant  tablets
Tranxene,"5 mg capsules, hard"
TRAUMA,Ointment warming 50 mg+  50 mg+
Trauma  Ointment Cooling,50 mg + 15 mg + 15 mg/1 g ointment
Trauma  Ointment Cooling,"50 mg + 15 mg + 9,1 mg/1  g ointment"
Traumeel  S,oint. x 50
Traumeel  S,oral drops - 30 ml
Traumeel  S,"oral sol. amp. - 2,2 ml  x 10"
Traumeel S,solution for injection
Trausan,1000 mg oral solution
Travapress,"40 mcg/ml eye drops,  solution"
Travmagel,5 % gel
Travmagel,1% gel
Travoprost  + Timolol PharmaSwiss,"40 micrograms/ml + 5  mg/ml eye drops, solution"
Travoprost Pharmathen,"40 micrograms/ml eye  drops, solution"
Travoprost  RAFARM,"40 micrograms/ml eye  drops, solution"
Travoprost  Teva,"40 micrograms/ml eye  drops, solution"
Trazomed,50 mg/5 ml oral solution
Trelema,50 mg film - coated tablets
Trelema,100 mg film - coated tablets
Trelema,150 mg film - coated tablets
Trelema,200 mg film - coated tablets
Trelema,50 mg film - coated tablets
Trelema,100 mg film - coated tablets
Trelema,150 mg film - coated tablets
Trelema,200 mg film - coated tablets
Tresuvi,1 mg/ ml solution for  infusion
Tresuvi,10 mg/ ml solution for  infusion
Tresuvi,2.5 mg/ ml solution for  infusion
Tresuvi,5 mg/ ml solution for  infusion
Tri - Regol,coated tablets
Triampur  compositum,"25 mg/12,5 mg tablets"
Tribestan,250 mg film - coated  tablets
Tributin,300 mg prolonged - release  tablets
Trichomonacid,500 mg vaginal tablets
Trichomonacid,250 mg tablets
Tridepos,70 mg + 500 mg/880 IU tablets
Triderm,"0,5mg/ 10mg/ lmg/ g  ointment"
Triderm,"0,5 mg/10 mg/l mg/g  cream"
Trifas,200 mg/20 ml solution  for infusion
Trifas,10 mg tablets
Trifas,200 mg tablets
Trifas,10 mg/ 2 ml solution for  injection
Trifas,20 mg/ 4 ml solution for  injection
Trifas  Cor,5 mg tablets
Trileptal,600 mg film-coated  tablets
Trileptal,300 mg film-coated  tablets
Trileptal,150 mg film-coated  tablets
Trileptal,60 mg/ml oral suspension
Trimadol  STADA,50 mg/ml solutio for  injection
Trimductal,20 mg film - coated  tablets
Trimepect,35 mg modified - release  tablets
Trimetacor,35 mg prolonged -  release tablets
Trimetazidine - Ratiopharm,35 mg modified - release  tablets
Trimetazidine  Alvogen,35 mg modified-release  tablets
Trimetazidine-Vitania,35 mg modified-release  tablets
Trimetazigen  MR,35 mg prolonged release tablets
Trimezol,400 mg/80 mg tablets
Trinitrina,1 mg/ml concentrate for  solution for infusion
Trinomia,100 mg/40 mg/10 mg hard  capsules
Trinomia,100 mg/40 mg/5 mg hard  capsules
Trinomia,"100 mg/40 mg/2,5 mg hard  capsules"
Trinomia,"100 mg/20 mg/2,5 mg hard  capsules"
Trinomia,100 mg/20 mg/5 mg hard  capsules
Trinomia,100 mg/20 mg/10 mg hard  capsules
Trio  Vision,"3500 IU/6000 IU/1 mg/ml  eye drops, solution"
Trioflen,300 mg hard capsules
Triovit,hard capsules
Triplixam,"2,5 mg/0,625 mg/5 mg  film - coated tablets"
Triplixam,"5 mg/1,25 mg/5 mg film -  coated tablets"
Triplixam,"5 mg/1,25 mg/10 mg film  - coated tablets"
Triplixam,"10 mg/2,5 mg/5 mg film -  coated tablets"
Triplixam,"10 mg/2,5 mg/10 mg film  - coated tablets"
Tri-Regol,coated tablets
Trisequens,film - coated tablets
Tritace,10 mg tablets
Tritace,5 mg tablets
"Tritace  2,5 plus","tabl. 2,5 mg/12,5 mg x  28"
Tritace  Combo,10 mg/5 mg hard capsules
Tritace  Combo,5 mg/5 mg hard capsules
Tritace Plus,5 mg/25 mg tablets
Tritace Plus,"10 mg/12,5 mg tablets"
Tritace Plus,10 mg/25 mg tablets
Trittico,75 mg prolonged -  release tablets
Trittico,150 mg prolonged -  release tablets
Trittico  XR,150 mg prolonged -  release tablets
Trittico  XR,300 mg prolonged -  release tablets
Trixid,100 mg powder for  concetrate for solution for infusion
Trixid,500 mg powder for  concetrate for solution for infusion
Trixid,1000 mg powder for  concetrate for solution for infusion
Trocordis,"62,5 mg film - coated tablets"
Trocordis,125 mg film - coated tablets
Trogran,75 mg film - coated  tablets
Trombex,75 mg film - coated  tablets
Trombo  ASS,100 mg gastro -  resistant tablets
Tropicamid  Vision,"10 mg/ml eye drops,  solution"
Tropicamid  Vision,"5 mg/ml eye drops,  solution"
Trosicam,15 mg orodispersible  tablets
Trosicam,"7,5 mg orodispersible  tablets"
Troxemed,caps. 300 mg x 50
Troxerutin  DS,2% gel
Troxerutin  Sopharma,caps. 300 mg x 50
Troxerutin  Sopharma,2% gel
Troxerutin  VP,2% gel
Troxevasin,"300 mg capsules, hard"
Troxevasin,2% gel
Troxevasin Duo,30 mg/20 mg/g gel
Troximetacin,30 mg/20 mg/g gel
Trozel,"tabl. film 2,5 mg x 10;  x 14; x 28; x 30; x 100"
Truflo,"125 micrograms per  actuation pressurised inhalation,  suspension"
Truflo,"250 micrograms per  actuation pressurised inhalation,  suspension"
Trund,250 mg film - coated  tablets
Trund,500 mg film - coated  tablets
Trund,750 mg film - coated  tablets
Trund,1000 mg film - coated  tablets
Trund,100 mg/ml oral solution
Trusopt,"2 % eye drops, solution"
Truzor,5 mg film - coated tablets
Tubocin,"300 mg capsules, hard"
Tulip,20 mg film - coated tablets
Tulip,10 mg film - coated tablets
Tusari,75 mg gastro - resistant  tablets
Tusari,100 mg gastro - resistant  tablets
Tuspan,7 mg/ml syrup
Tussavit,"7,53g/7,53g/100g syrup"
Tussirol,"syr. x 2,5 mg/01,0  mg/125 ml."
Tussirol,"2,5 mg/1 mg/125 mg/ml  syrup"
Tylol,120 mg/5 ml oral  suspension
Tylol,6 + 250 mg/5 ml oral  suspension
Tylol  6 +,susp. 250 mg/5 ml - 100  ml
Tylol  Hot,powd. x 12
Tylol  hot,500 mg/4 mg/60 mg powder  for oral suspension
Tylol  Hot D,powd. x 12
Tylol hot D,500 mg/4 mg/60 mg powder  for oral suspension
Tylol  Hot Pediatric,powd. x 12
Tylol hot pediatric,250mg/ 2mg/30mg powder  for oral suspension
Tylol  Plus,500 mg/30 mg tablets
Tylol Plus 500 mg,tabl. x 2; x 20
Tylolfen  Hot,500 mg/4 mg/10 mg powder  for oral suspension
Typherix,"sol.  inj. pre-filled syr. 0,5 ml /1 dose/ + 2 needles x 1; x 10"
Typherix,solution for injection  in a pre - filled sirynge
Typhim  VI,"0,5 ml solution for  injection"
Tyrez,5 mg film - coated  tablets
Tyrez,10 mg film - coated  tablets
Tyrez,"2,5 mg film - coated  tablets"
Ubistesin,"40 mg/0,006 mg/ml  solution for injection"
Ubistesin Forte,"40 mg/0,012 mg/ml  solution for injection"
Ulcamed,120 mg film - coated  tablets
Ulcoprol,40 mg powder for  solution for infusion
Ulcoprol,20 mg hard gastro -  resistant capsules
Ulprix,20 mg gastro - resistant  tablets
Ulprix,40 mg gastro - resistant  tablets
Ulsepan,40 mg powder for  solution for injection
Ultop,"10 mg gastro - resistant  capsules, hard"
Ultop,"40 mg gastro - resistant  capsules, hard"
Ultracain  D-S,"sol. inj. 40 mg\0,006  mg\ml - 2 ml x 20; 1,7 ml x 100"
Ultracain  D-S Forte,sol. inj. amp. 2 ml x 20
Ultracortenol,5 mg/g eye ointmemt
Ultravas,40 mg film - coated  tablets
Ultravas,10 mg film - coated  tablets
Ultravas,20 mg film - coated  tablets
Ultravist,623 mg/ml solution for  injection/infusion
Ultravist,769 mg/ml solution for  injection/infusion
Ultravist  300,623 mg/ ml solution for  injection/infusion
Ultravist  370,769 mg/ ml solution for  injection/infusion
Uman  Albumin,200 g/l solution for  infusion
Uman Complex,500 IU powder and  solvent for solutin for infusion
Uman  Complex D.I. 500 IU,powd. inf. vial 500 IU +  solv. vial 20 ml + inf. set
Umckalor,"8 g/10 g oral drops,  solution"
Umckalor,film - coated tablets
Unasyn,"1,0 g/0,5 g powder for  solution for injection"
Unasyn,375 mg film - coated  tablets
Uniclophen,"0,1 % eye drops, solution"
Unidexa Unimed Pharma,"0,1 % eye drops,  solution"
Uniflox,"0,3% eye/ear drops,  solution"
Unilat,"50 micrograms/ml eye  drops, solution"
Unirex,75 mg dispersible  tablets
Unirex  Cardio,75 mg dispersible  tablets
Uniring,"0,120 mg/0,015 mg per 24  hours, vaginal delivery system"
Unispir,325 mg gastro-resistant  tabl.
Unispir,100 mg gastro-resistant  tabl.
Unispir,500 mg gastro -  resistant tablets
Unitimolol,"0,5 % eye drops,  solution"
Unitropic,"1% eye drops, solution"
Unsayn,"1,0 g / 0,5 g powder for  solution for injection"
Upsarin  C,330 mg/200 mg  effervescent tablets
